number,step,surface,valid_time,t2m
0,0 days,0.0,2007-01-05 11:00:00,274.35016
0,0 days,0.0,2007-01-05 12:00:00,274.3345
0,0 days,0.0,2007-01-05 12:00:00,274.32166
0,0 days,0.0,2007-01-05 13:00:00,274.37415
0,0 days,0.0,2007-01-05 13:00:00,274.34476
0,0 days,0.0,2007-01-05 14:00:00,274.3518
0,0 days,0.0,2007-01-05 14:00:00,274.3098
0,0 days,0.0,2007-01-05 15:00:00,274.26328
0,0 days,0.0,2007-01-05 15:00:00,274.21988
0,0 days,0.0,2007-01-05 16:00:00,274.11472
0,0 days,0.0,2007-01-05 16:00:00,274.07468
0,0 days,0.0,2007-01-05 17:00:00,274.01483
0,0 days,0.0,2007-01-05 17:00:00,273.98404
0,0 days,0.0,2007-01-05 18:00:00,274.0075
0,0 days,0.0,2007-01-05 18:00:00,273.99686
0,0 days,0.0,2007-01-05 19:00:00,274.0046
0,0 days,0.0,2007-01-05 19:00:00,274.00516
0,0 days,0.0,2007-01-05 20:00:00,274.01904
0,0 days,0.0,2007-01-05 20:00:00,274.01706
0,0 days,0.0,2007-01-05 21:00:00,274.0494
0,0 days,0.0,2007-01-05 21:00:00,274.0371
0,0 days,0.0,2007-01-05 22:00:00,274.11646
0,0 days,0.0,2007-01-05 22:00:00,274.0798
0,0 days,0.0,2007-01-05 23:00:00,274.08728
0,0 days,0.0,2007-01-05 23:00:00,274.06125
0,0 days,0.0,2007-01-06 00:00:00,274.08432
0,0 days,0.0,2007-01-06 00:00:00,274.05243
0,0 days,0.0,2007-01-06 01:00:00,274.09055
0,0 days,0.0,2007-01-06 01:00:00,274.05725
0,0 days,0.0,2007-01-06 02:00:00,274.1014
0,0 days,0.0,2007-01-06 02:00:00,274.04657
0,0 days,0.0,2007-01-06 03:00:00,274.12308
0,0 days,0.0,2007-01-06 03:00:00,274.07855
0,0 days,0.0,2007-01-06 04:00:00,274.1682
0,0 days,0.0,2007-01-06 04:00:00,274.1371
0,0 days,0.0,2007-01-06 05:00:00,274.2176
0,0 days,0.0,2007-01-06 05:00:00,274.1879
0,0 days,0.0,2007-01-06 06:00:00,274.3281
0,0 days,0.0,2007-01-06 06:00:00,274.29196
0,0 days,0.0,2007-01-06 07:00:00,274.4247
0,0 days,0.0,2007-01-06 07:00:00,274.37793
0,0 days,0.0,2007-01-06 08:00:00,274.51852
0,0 days,0.0,2007-01-06 08:00:00,274.45697
0,0 days,0.0,2007-01-06 09:00:00,274.56744
0,0 days,0.0,2007-01-06 09:00:00,274.49997
